# M1	M2	CLs_EXP	CLs_OBS	CLs_NN_EXP	CLs_NN_OBS
3.600000000000000000e+02 1.000000000000000000e+00 9.739256517006047442e-01 9.833682507882298696e-01 8.059107522282202840e-01 9.723069936425428050e-01
3.600000000000000000e+02 2.000000000000000000e+02 8.027659128000927957e-01 7.896838548877698205e-01 6.350654583941817144e-01 8.979677074824837790e-01
3.600000000000000000e+02 4.000000000000000000e+01 9.594062865056192102e-01 9.744224995691779245e-01 7.630983222231578766e-01 9.656801486060729856e-01
3.600000000000000000e+02 8.000000000000000000e+01 9.395696143610539064e-01 9.533318375953107049e-01 7.216544070345700668e-01 9.455436917246670125e-01
3.800000000000000000e+02 1.000000000000000000e+00 9.341832060859560638e-01 9.654003245203095496e-01 6.865660070156969219e-01 9.613119858697944942e-01
4.000000000000000000e+02 1.200000000000000000e+02 8.749947818168070102e-01 9.275529076871431577e-01 6.151232170944664901e-01 9.499123226229587713e-01
4.000000000000000000e+02 1.600000000000000000e+02 8.148717682753804370e-01 8.655372625226983585e-01 6.277745124620665029e-01 9.271576890861817910e-01
4.000000000000000000e+02 1.000000000000000000e+00 8.903382711974703323e-01 9.354617702819003622e-01 6.417333525611959022e-01 9.524102132613582183e-01
4.000000000000000000e+02 4.000000000000000000e+01 8.926328029616593662e-01 9.375125711867985379e-01 6.483658111389100087e-01 9.556493599294414443e-01
4.000000000000000000e+02 8.000000000000000000e+01 9.079643850514949044e-01 9.398058797011819010e-01 6.679683895181562914e-01 9.520211666883071633e-01
4.400000000000000000e+02 1.200000000000000000e+02 7.635515501952404582e-01 8.420851903243214975e-01 5.629097164818215315e-01 9.200858840105125003e-01
4.400000000000000000e+02 1.000000000000000000e+00 7.985745184311725531e-01 8.909793878616103502e-01 5.418267896445201348e-01 9.360302512016067666e-01
4.400000000000000000e+02 4.000000000000000000e+01 7.623002524524633561e-01 8.460884585368051436e-01 5.317834478613732152e-01 9.290600386389379350e-01
4.400000000000000000e+02 8.000000000000000000e+01 7.968396941950259826e-01 8.724649704234698211e-01 5.879628041879192413e-01 9.322313175978852451e-01
8.000000000000000000e+01 1.000000000000000000e+00 2.126236758576219854e-01 1.753418476735950637e-01 6.394801350705860976e-01 8.198757172084333300e-01
